,X-axis,Y-Axis,Z-Axis
319,26,-63,1016
320,20,-50,1020
321,15,-81,1012
322,25,-45,1006
323,-11,-80,1011
324,2,-77,1022
325,2,-77,1001
326,29,-75,1021
327,2,-102,1047
328,40,-56,1037
329,43,-63,1030
330,39,-40,1046
331,28,-61,1055
332,38,-39,1009
333,3,-77,1016
334,6,-78,985
335,5,-84,974
336,2,-102,980
337,-17,-94,978
338,20,-85,941
339,32,-42,919
340,55,-56,931
341,72,-25,947
342,53,-34,951
343,51,-43,959
344,34,-78,993
345,19,-81,1032
346,0,-104,1061
347,-28,-115,1112
348,-13,-106,1078
349,-27,-102,1110
350,8,-87,1071
351,-13,-52,1056
352,-1,-42,1046
353,-3,-41,1045
354,28,-25,996
355,42,-42,994
356,34,-68,1002
357,76,-55,999
358,83,-94,1003
359,66,-63,996
360,55,-93,948
361,9,-71,943
362,-19,-68,918
363,-50,-86,924
364,-26,-63,907
365,0,-51,888
366,19,-97,903
367,54,-64,912
368,64,-66,936
369,54,-93,985
370,35,-64,999
371,25,-56,1030
372,6,-68,1066
373,-20,-53,1068
374,-7,-63,1102
375,9,-50,1108
376,11,-58,1088
377,42,-36,1066
378,50,-71,1065
379,43,-48,1056
380,82,-50,1047
381,41,-44,1037
382,39,-64,1009
383,56,-39,995
384,1,-61,991
385,10,-55,966
386,30,-78,976
387,-1,-103,977
388,7,-110,969
389,-12,-92,989
390,-4,-95,999
391,-7,-99,966
392,-13,-70,985
393,33,-52,949
394,34,-54,965
395,65,-52,947
396,71,-29,923
397,69,-52,946
398,74,-56,942
399,40,-65,939
400,43,-65,999
401,34,-47,1027
402,11,-66,1038
403,17,-78,1049
404,22,-80,1079
405,25,-71,1090
406,19,-82,1110
407,35,-77,1111
408,13,-63,1125
409,21,-63,1128
410,-3,-52,1099
411,11,-28,1113
412,32,-45,1071
413,12,-40,1039
414,38,-52,983
415,17,-80,978
416,46,-61,962
417,40,-95,962
418,59,-67,920
419,53,-81,973
420,57,-55,946
421,50,-80,959
422,45,-72,940
423,30,-84,959
424,21,-60,973
425,18,-67,993
426,4,-64,994
427,-5,-58,1031
428,3,-60,1047
429,6,-65,1053
430,14,-72,1094
431,38,-64,1095
432,33,-73,1095
433,52,-74,1078
434,59,-72,1082
435,65,-82,1067
436,66,-59,1071
437,71,-45,1073
438,54,-46,1075
439,44,-56,1091
440,66,-22,1073
441,21,-43,1074
442,12,-60,1096
443,-1,-80,1071
444,-5,-53,1046
445,-2,-95,1069
446,-2,-81,1024
447,21,-84,1014
448,20,-99,1004
449,71,-67,977
450,50,-70,988
451,67,-66,960
452,57,-72,958
453,34,-68,995
454,33,-72,1007
455,-8,-78,1046
456,31,-50,1038
457,27,-62,1069
458,3,-36,1083
459,30,-42,1077
460,47,-35,1052
461,21,-71,1051
462,52,-72,1036
463,41,-113,1068
464,47,-78,1039
465,33,-84,1061
466,32,-72,1078
467,44,-45,1062
468,10,-85,1116
469,41,-51,1093
470,-11,-73,1124
471,32,-54,1080
472,-22,-81,1089
473,8,-81,1093
474,16,-45,1067
475,0,-77,1062
476,29,-36,1027
477,44,-45,1005
478,32,-41,988
479,69,-33,949
480,33,-67,937
481,49,-49,935
482,24,-70,933
483,20,-91,923
484,-3,-110,990
485,10,-84,1011
486,2,-89,1035
487,-4,-87,1055
488,11,-64,1057
489,7,-75,1059
490,-4,-44,1060
491,9,-75,1063
492,10,-67,1074
